code_uic;libelle_point_d_arret;libelle;libelle_stif_info_voyageurs;libelle_sms_gare;nom_gare;adresse;code_insee_commune;commune;x_lambert_ii_etendu;y_lambert_ii_etendu;coord_gps_wgs84;zone_navigo;gare_non_sncf
87393314;RAMBOUILLET;RAMBOUILLET;GARE DE RAMBOUILLET;Rambouillet;Rambouillet;1 Place Fernand Prudhomme 78120 Rambouillet;78517;Rambouillet;562748;2405139;48.6437876582, 1.83120236411;5;0
87393413;VILLEPREUX LES CLAYES;VILLEPREUX LES CLAYES;GARE DE VILLEPREUX LES CLAYES;Villepreux;Villepreux - Les Clayes-sous-Bois;Allée de la Gare 78340 Les Clayes Sous Bois;78165;Les Clayes-sous-Bois;574758;2425125;48.8240093053, 1.99292226774;5;0
87393488;DREUX;DREUX;GARE DE DREUX;;Dreux;;28134;Dreux;528915;2415183;48.7312168411, 1.37063305623;100;0
87393561;IGNY;IGNY;GARE D'IGNY;Igny;Igny;1, Avenue Jean Jaurès 91430   Igny;91312;Igny;592247;2415729;48.7400090233, 2.23114741428;4;0
87393629;PLAISIR LES CLAYES;PLAISIR LES CLAYES;GARE DE PLAISIR LES CLAYES;Plaisir;Plaisir - Les Clayes-sous-Bois;Rue des Vicomtes 78730 Plaisir;78490;Plaisir;572346;2425879;48.8306864145, 1.96004233912;5;0
87393843;SAINT-QUENTIN EN YVELINES;SAINT-QUENTIN EN YVELINES;GARE DE ST QUENTIN EN YVELINES;St Quentin;Saint-Quentin en Yvelines;Place Charles de Gaulle 78180 Montigny le Bretonneux;78423;Montigny-le-Bretonneux;578546;2421099;48.7879626643, 2.04468643564;5;0
87394148;SAINT-PIAT;SAINT-PIAT;GARE DE ST PIAT;;Saint-Piat;;28357;Saint-Piat;544867;2394007;48.5424409263, 1.59010244864;100;0
87419952;SERANS;Serans;GARE DE SERANS;;Serans;;60614;Serans;563474;2465450;49.1858313836, 1.83583096064;100;0
87430884;JOUY SUR MORIN MONUMENT;JOUY SUR MORIN MONUMENT;JOUY SUR MORIN MONUMENT;;Jouy-sur-Morin Monument aux Morts;;77240;Jouy-sur-Morin;668922;2421772;48.7906825339, 3.27406177755;5;0
87540179;DOURDAN LA FORET;DOURDAN LA FORET;GARE DE DOURDAN LA FORET;Dourdan La F;Dourdan la Forêt;Chemin du Champ de course 91410   Dourdan;91200;Dourdan;574762;2393047;48.5356737195, 1.99487866205;5;0
